LocationID,LocationName,LocationType,Address,City,PostalCode,Region,Country,Phone,Email,IsActive,OpeningHours,Latitude,Longitude,CreatedDate,ModifiedDate
1,Oslo Lufthavn Gardermoen,Airport,Edvard Munchs veg 1,Gardermoen,2061,Østlandet,Norway,+47 67 03 10 00,gardermoen@sixt.no,1,06:00-23:00,60.19390000,11.10040000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
2,Bergen Lufthavn Flesland,Airport,Flyplassvegen 555,Bergen,5869,Vestlandet,Norway,+47 55 99 31 00,bergen.lufthavn@sixt.no,1,06:00-23:00,60.29340000,5.21810000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
3,Stavanger Lufthavn Sola,Airport,Flyplassvegen 230,Sola,4055,Vestlandet,Norway,+47 51 65 81 00,sola@sixt.no,1,06:00-23:00,58.87670000,5.63780000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
4,Trondheim Lufthavn Værnes,Airport,Flyplassvegen 1,Stjørdal,7500,Trøndelag,Norway,+47 74 84 30 00,vaernes@sixt.no,1,06:00-23:00,63.45780000,10.92390000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
5,Kristiansand Lufthavn Kjevik,Airport,Kjøita 40,Kristiansand,4630,Sørlandet,Norway,+47 38 06 19 00,kjevik@sixt.no,1,06:00-22:00,58.20420000,8.08440000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
6,Oslo Sentrum,City Center,Karl Johans gate 14,Oslo,0154,Østlandet,Norway,+47 22 17 50 00,oslo.sentrum@sixt.no,1,07:00-19:00,59.91390000,10.75220000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
7,Bergen Sentrum,City Center,Torgallmenningen 8,Bergen,5014,Vestlandet,Norway,+47 55 31 44 00,bergen.sentrum@sixt.no,1,08:00-18:00,60.39130000,5.32210000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
8,Stavanger Sentrum,City Center,Kirkegata 15,Stavanger,4006,Vestlandet,Norway,+47 51 89 26 00,stavanger.sentrum@sixt.no,1,08:00-18:00,58.97000000,5.73310000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
9,Trondheim Sentrum,City Center,Munkegata 35,Trondheim,7011,Trøndelag,Norway,+47 73 87 10 00,trondheim.sentrum@sixt.no,1,08:00-18:00,63.43050000,10.39510000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
10,Kristiansand Sentrum,City Center,Markens gate 8,Kristiansand,4611,Sørlandet,Norway,+47 38 02 68 00,kristiansand.sentrum@sixt.no,1,08:00-18:00,58.14670000,7.99560000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
11,Tromsø Lufthavn,Airport,Flyplassvegen 31,Tromsø,9016,Nord-Norge,Norway,+47 77 64 84 00,tromso.lufthavn@sixt.no,1,06:00-22:00,69.68330000,18.91890000,2026-02-18 20:37:26.7133333,2026-02-18 20:37:26.7133333
