RentalID,VehicleID,LocationID,ReturnLocationID,StartDate,EndDate,ActualReturnDate,RentalDays,DailyRate,TotalAmount,Status,BookingDate,CustomerType,PaymentStatus,DiscountAmount,TaxAmount,InsuranceAmount,ExtraFees,CreatedDate,ModifiedDate
1,2,2,2,2026-02-16,2026-02-18,NULL,3,299.00,897.00,Completed,2026-02-18 20:37:26.7200000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
2,3,3,3,2026-02-14,2026-02-17,NULL,4,289.00,1156.00,Completed,2026-02-18 20:37:26.7200000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
3,4,4,4,2026-02-12,2026-02-16,NULL,5,319.00,1595.00,Completed,2026-02-18 20:37:26.7200000,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
4,5,5,5,2026-02-10,2026-02-15,NULL,6,299.00,1794.00,Completed,2026-02-18 20:37:26.7200000,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
5,6,6,6,2026-02-08,2026-02-14,NULL,7,399.00,2793.00,Completed,2026-02-18 20:37:26.7200000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
6,7,7,7,2026-02-06,2026-02-13,NULL,8,459.00,3672.00,Completed,2026-02-18 20:37:26.7200000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
7,8,8,8,2026-02-04,2026-02-05,NULL,2,449.00,898.00,Active,2026-02-18 20:37:26.7200000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
8,9,9,9,2026-02-02,2026-02-04,NULL,3,479.00,1437.00,Active,2026-02-18 20:37:26.7200000,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
9,10,10,10,2026-01-31,2026-02-03,NULL,4,429.00,1716.00,Cancelled,2026-02-18 20:37:26.7200000,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7200000,2026-02-18 20:37:26.7200000
10,11,11,12,2026-01-29,2026-02-02,NULL,5,599.00,2995.00,Completed,2026-02-18 20:37:26.7233333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
11,12,12,12,2026-01-27,2026-02-01,NULL,6,619.00,3714.00,Completed,2026-02-18 20:37:26.7233333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
12,13,13,13,2026-01-25,2026-01-31,NULL,7,649.00,4543.00,Completed,2026-02-18 20:37:26.7233333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
13,14,14,14,2026-01-23,2026-01-30,NULL,8,679.00,5432.00,Completed,2026-02-18 20:37:26.7233333,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
14,15,15,15,2026-01-21,2026-01-22,NULL,2,699.00,1398.00,Completed,2026-02-18 20:37:26.7233333,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
15,16,16,16,2026-01-19,2026-01-21,NULL,3,899.00,2697.00,Completed,2026-02-18 20:37:26.7233333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
16,17,17,17,2026-01-17,2026-01-20,NULL,4,919.00,3676.00,Completed,2026-02-18 20:37:26.7233333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7233333,2026-02-18 20:37:26.7233333
17,18,18,18,2026-01-15,2026-01-19,NULL,5,949.00,4745.00,Active,2026-02-18 20:37:26.7266667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
18,19,19,19,2026-01-13,2026-01-18,NULL,6,979.00,5874.00,Active,2026-02-18 20:37:26.7266667,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
19,20,20,20,2026-01-11,2026-01-17,NULL,7,1099.00,7693.00,Cancelled,2026-02-18 20:37:26.7266667,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
20,21,21,22,2026-01-09,2026-01-16,NULL,8,1499.00,11992.00,Completed,2026-02-18 20:37:26.7266667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
21,22,22,22,2026-01-07,2026-01-08,NULL,2,1599.00,3198.00,Completed,2026-02-18 20:37:26.7266667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
22,23,23,23,2026-01-05,2026-01-07,NULL,3,1549.00,4647.00,Completed,2026-02-18 20:37:26.7266667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
23,24,24,24,2026-01-03,2026-01-06,NULL,4,1649.00,6596.00,Completed,2026-02-18 20:37:26.7266667,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
24,25,25,25,2026-01-01,2026-01-05,NULL,5,1899.00,9495.00,Completed,2026-02-18 20:37:26.7266667,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7266667,2026-02-18 20:37:26.7266667
25,26,26,26,2025-12-30,2026-01-04,NULL,6,329.00,1974.00,Completed,2026-02-18 20:37:26.7300000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
26,27,27,27,2025-12-28,2026-01-03,NULL,7,289.00,2023.00,Completed,2026-02-18 20:37:26.7300000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
27,28,28,28,2025-12-26,2026-01-02,NULL,8,389.00,3112.00,Active,2026-02-18 20:37:26.7300000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
28,29,29,29,2025-12-24,2025-12-25,NULL,2,369.00,738.00,Active,2026-02-18 20:37:26.7300000,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
29,30,30,30,2025-12-22,2025-12-24,NULL,3,629.00,1887.00,Cancelled,2026-02-18 20:37:26.7300000,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
30,31,31,32,2025-12-20,2025-12-23,NULL,4,799.00,3196.00,Completed,2026-02-18 20:37:26.7300000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7300000,2026-02-18 20:37:26.7300000
31,32,32,32,2025-12-18,2025-12-22,NULL,5,849.00,4245.00,Completed,2026-02-18 20:37:26.7333333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
32,33,33,33,2025-12-16,2025-12-21,NULL,6,879.00,5274.00,Completed,2026-02-18 20:37:26.7333333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
33,34,34,34,2025-12-14,2025-12-20,NULL,7,829.00,5803.00,Completed,2026-02-18 20:37:26.7333333,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
34,35,35,35,2025-12-12,2025-12-19,NULL,8,1199.00,9592.00,Completed,2026-02-18 20:37:26.7333333,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
35,36,36,36,2025-12-10,2025-12-11,NULL,2,699.00,1398.00,Completed,2026-02-18 20:37:26.7333333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
36,37,37,37,2025-12-08,2025-12-10,NULL,3,899.00,2697.00,Completed,2026-02-18 20:37:26.7333333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
37,38,38,38,2025-12-06,2025-12-09,NULL,4,949.00,3796.00,Active,2026-02-18 20:37:26.7333333,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
38,39,39,39,2025-12-04,2025-12-08,NULL,5,919.00,4595.00,Active,2026-02-18 20:37:26.7333333,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7333333,2026-02-18 20:37:26.7333333
39,40,40,40,2025-12-02,2025-12-07,NULL,6,789.00,4734.00,Cancelled,2026-02-18 20:37:26.7366667,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
40,41,41,42,2025-11-30,2025-12-06,NULL,7,1399.00,9793.00,Completed,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
41,42,42,42,2025-11-28,2025-12-05,NULL,8,1699.00,13592.00,Completed,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
42,43,43,43,2025-11-26,2025-11-27,NULL,2,1299.00,2598.00,Completed,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
43,44,44,44,2025-11-24,2025-11-26,NULL,3,1199.00,3597.00,Completed,2026-02-18 20:37:26.7366667,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
44,45,45,45,2025-11-22,2025-11-25,NULL,4,1149.00,4596.00,Completed,2026-02-18 20:37:26.7366667,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
45,46,46,46,2025-11-20,2025-11-24,NULL,5,289.00,1445.00,Completed,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
46,47,47,47,2025-11-18,2025-11-23,NULL,6,269.00,1614.00,Completed,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
47,48,48,48,2025-11-16,2025-11-22,NULL,7,489.00,3423.00,Active,2026-02-18 20:37:26.7366667,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7366667,2026-02-18 20:37:26.7366667
48,49,49,49,2025-11-14,2025-11-21,NULL,8,529.00,4232.00,Active,2026-02-18 20:37:26.7400000,Corporate,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
49,50,50,50,2025-11-12,2025-11-13,NULL,2,579.00,1158.00,Cancelled,2026-02-18 20:37:26.7400000,Government,Pending,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
50,1,51,52,2025-11-10,2025-11-12,NULL,3,299.00,897.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
51,2,52,52,2025-11-08,2025-11-11,NULL,4,299.00,1196.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
52,3,53,53,2025-11-06,2025-11-10,NULL,5,289.00,1445.00,Completed,2026-02-18 20:37:26.7400000,Individual,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
53,4,54,54,2025-11-04,2025-11-09,NULL,6,319.00,1914.00,Completed,2026-02-18 20:37:26.7400000,Corporate,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
54,5,55,55,2025-11-02,2025-11-08,NULL,7,299.00,2093.00,Completed,2026-02-18 20:37:26.7400000,Government,Paid,0.00,0.00,0.00,0.00,2026-02-18 20:37:26.7400000,2026-02-18 20:37:26.7400000
